id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,fetched_at,snapshot_date
usd-coin,usdc,USDC,0.999848,77228493713,6,11055037358,0.99987,0.999586,0.01872,2026-05-02T01:58:28.020Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
solana,sol,Solana,83.98,48398505821,7,2657566770,84.67,83.42,0.45413,2026-05-02T01:58:34.443Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
tron,trx,TRON,0.326483,30949111063,8,381715061,0.327029,0.325552,0.08874,2026-05-02T01:58:29.974Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
figure-heloc,figr_heloc,Figure Heloc,1.035,17881920116,9,178800449,1.041,1.031,0.33111,2026-05-02T01:58:26.910Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
dogecoin,doge,Dogecoin,0.108641,16755735453,10,1915171228,0.110193,0.107506,-0.30484,2026-05-02T01:58:37.234Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
whitebit,wbt,WhiteBIT Coin,58.41,12463295744,11,83907952,58.84,57.36,1.5993,2026-05-02T01:58:24.277Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
usds,usds,USDS,0.999789,11145343531,12,31338862,0.999947,0.99959,0.0094,2026-05-02T01:58:25.621Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
hyperliquid,hype,Hyperliquid,41.27,9836992862,13,254680595,41.27,39.84,2.35923,2026-05-02T01:58:26.143Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
leo-token,leo,LEO Token,10.34,9523574764,14,322500,10.35,10.29,0.25144,2026-05-02T01:58:27.839Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
cardano,ada,Cardano,0.248194,9179915213,15,279809689,0.250604,0.24666,0.40983,2026-05-02T01:58:28.148Z,2026-05-02T01:58:38.335826+00:00,2026-05-02
bitcoin,btc,Bitcoin,78241.0,1566756669274,1,19042552845,79005.0,78050.0,-0.05785,2026-05-03T01:57:55.934Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
ethereum,eth,Ethereum,2303.55,278008422995,2,6164223319,2334.38,2295.31,0.26709,2026-05-03T01:57:58.536Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
tether,usdt,Tether,0.999879,189567049057,3,32846493410,0.99989,0.999531,0.00724,2026-05-03T01:57:55.748Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
ripple,xrp,XRP,1.38,85471611073,4,834277008,1.4,1.38,-0.06106,2026-05-03T01:57:55.460Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
binancecoin,bnb,BNB,615.91,83004559770,5,593792250,620.37,614.38,0.03967,2026-05-03T01:57:55.561Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
usd-coin,usdc,USDC,0.999911,77248248804,6,5212791175,1.0,0.999718,0.01391,2026-05-03T01:57:55.824Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
solana,sol,Solana,83.73,48267544121,7,1675103702,84.78,83.55,-0.29479,2026-05-03T01:57:55.501Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
tron,trx,TRON,0.330381,31323742806,8,523739395,0.333511,0.326512,1.18493,2026-05-03T01:57:47.931Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
figure-heloc,figr_heloc,Figure Heloc,1.04,17745740434,9,28233583,1.04,1.032,0.5209,2026-05-03T01:57:44.955Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
dogecoin,doge,Dogecoin,0.10761,16573785700,10,1074873186,0.109268,0.107424,-0.89609,2026-05-03T01:57:43.267Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
whitebit,wbt,WhiteBIT Coin,58.39,12461782018,11,41706260,58.85,58.28,-0.01688,2026-05-03T01:57:41.799Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
usds,usds,USDS,0.999881,11470163100,12,18880805,0.999946,0.99966,0.00966,2026-05-03T01:57:49.114Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
hyperliquid,hype,Hyperliquid,41.12,9801898413,13,190436903,42.31,41.02,-0.37146,2026-05-03T01:57:46.015Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
leo-token,leo,LEO Token,10.32,9493386061,14,418507,10.34,10.23,-0.27089,2026-05-03T01:57:45.436Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
cardano,ada,Cardano,0.248235,9179788557,15,212671630,0.251903,0.2472,0.03488,2026-05-03T01:57:53.339Z,2026-05-03T01:58:28.064851+00:00,2026-05-03
